"activity" "subjet" "mean"
"1" "WALKING" 1 -0.319105810200331
"2" "WALKING" 2 -0.385708093716054
"3" "WALKING" 3 -0.386865862874514
"4" "WALKING" 4 -0.43055661483918
"5" "WALKING" 5 -0.378535121986988
"6" "WALKING" 6 -0.337513362522582
"7" "WALKING" 7 -0.306764482858546
"8" "WALKING" 8 -0.299755499867352
"9" "WALKING" 9 -0.37164660578822
"10" "WALKING" 10 -0.327086776127028
"11" "WALKING" 11 -0.431366510871248
"12" "WALKING" 12 -0.355560155447154
"13" "WALKING" 13 -0.316988827925179
"14" "WALKING" 14 -0.385501824502105
"15" "WALKING" 15 -0.390526282476396
"16" "WALKING" 16 -0.431362808379042
"17" "WALKING" 17 -0.387039462708526
"18" "WALKING" 18 -0.436306077297177
"19" "WALKING" 19 -0.238252786596887
"20" "WALKING" 20 -0.259518117088663
"21" "WALKING" 21 -0.330648706245588
"22" "WALKING" 22 -0.274200987116311
"23" "WALKING" 23 -0.265296718829829
"24" "WALKING" 24 -0.416975175176002
"25" "WALKING" 25 -0.460842122215599
"26" "WALKING" 26 -0.392008755561813
"27" "WALKING" 27 -0.377771272094104
"28" "WALKING" 28 -0.393787255237739
"29" "WALKING" 29 -0.352894943404783
"30" "WALKING" 30 -0.373607524126774
"31" "WALKING UPSTAIRS" 1 -0.40699661814598
"32" "WALKING UPSTAIRS" 2 -0.363983305102955
"33" "WALKING UPSTAIRS" 3 -0.424274671811149
"34" "WALKING UPSTAIRS" 4 -0.415260374462441
"35" "WALKING UPSTAIRS" 5 -0.356353464901252
"36" "WALKING UPSTAIRS" 6 -0.330642340129316
"37" "WALKING UPSTAIRS" 7 -0.427408293255387
"38" "WALKING UPSTAIRS" 8 -0.293377815632218
"39" "WALKING UPSTAIRS" 9 -0.427075431896002
"40" "WALKING UPSTAIRS" 10 -0.345652600356602
"41" "WALKING UPSTAIRS" 11 -0.43527506672087
"42" "WALKING UPSTAIRS" 12 -0.42179157558609
"43" "WALKING UPSTAIRS" 13 -0.411582073864772
"44" "WALKING UPSTAIRS" 14 -0.285486358859423
"45" "WALKING UPSTAIRS" 15 -0.393720911542089
"46" "WALKING UPSTAIRS" 16 -0.440146451770759
"47" "WALKING UPSTAIRS" 17 -0.401431355861112
"48" "WALKING UPSTAIRS" 18 -0.470681472754459
"49" "WALKING UPSTAIRS" 19 -0.316821118319495
"50" "WALKING UPSTAIRS" 20 -0.338291941451443
"51" "WALKING UPSTAIRS" 21 -0.381967006088137
"52" "WALKING UPSTAIRS" 22 -0.305185521541175
"53" "WALKING UPSTAIRS" 23 -0.369581312588007
"54" "WALKING UPSTAIRS" 24 -0.43583828688532
"55" "WALKING UPSTAIRS" 25 -0.48551223324769
"56" "WALKING UPSTAIRS" 26 -0.41167278243368
"57" "WALKING UPSTAIRS" 27 -0.426267052017458
"58" "WALKING UPSTAIRS" 28 -0.401092965937606
"59" "WALKING UPSTAIRS" 29 -0.364429747315138
"60" "WALKING UPSTAIRS" 30 -0.439370730188029
"61" "WALKING DOWNSTAIRS" 1 -0.297226292824001
"62" "WALKING DOWNSTAIRS" 2 -0.259677293061387
"63" "WALKING DOWNSTAIRS" 3 -0.350536138554404
"64" "WALKING DOWNSTAIRS" 4 -0.363790441016887
"65" "WALKING DOWNSTAIRS" 5 -0.296901580091929
"66" "WALKING DOWNSTAIRS" 6 -0.198922424840441
"67" "WALKING DOWNSTAIRS" 7 -0.317129508211319
"68" "WALKING DOWNSTAIRS" 8 -0.19351985419359
"69" "WALKING DOWNSTAIRS" 9 -0.313140747277053
"70" "WALKING DOWNSTAIRS" 10 -0.263162073365728
"71" "WALKING DOWNSTAIRS" 11 -0.348717448293558
"72" "WALKING DOWNSTAIRS" 12 -0.311490436338625
"73" "WALKING DOWNSTAIRS" 13 -0.317234723087439
"74" "WALKING DOWNSTAIRS" 14 -0.203378373864087
"75" "WALKING DOWNSTAIRS" 15 -0.280227328116279
"76" "WALKING DOWNSTAIRS" 16 -0.339080301791712
"77" "WALKING DOWNSTAIRS" 17 -0.365194496888334
"78" "WALKING DOWNSTAIRS" 18 -0.438663811185222
"79" "WALKING DOWNSTAIRS" 19 -0.078306398113335
"80" "WALKING DOWNSTAIRS" 20 -0.247169665420288
"81" "WALKING DOWNSTAIRS" 21 -0.291301975673511
"82" "WALKING DOWNSTAIRS" 22 -0.287664837258693
"83" "WALKING DOWNSTAIRS" 23 -0.20246554081645
"84" "WALKING DOWNSTAIRS" 24 -0.359085991984149
"85" "WALKING DOWNSTAIRS" 25 -0.429924410531157
"86" "WALKING DOWNSTAIRS" 26 -0.322473123490661
"87" "WALKING DOWNSTAIRS" 27 -0.312446129792811
"88" "WALKING DOWNSTAIRS" 28 -0.291650876955502
"89" "WALKING DOWNSTAIRS" 29 -0.31726279115201
"90" "WALKING DOWNSTAIRS" 30 -0.358790607945901
"91" "SITTING" 1 -0.633405230612481
"92" "SITTING" 2 -0.640597914078914
"93" "SITTING" 3 -0.622780836987975
"94" "SITTING" 4 -0.627074988752137
"95" "SITTING" 5 -0.627014833570021
"96" "SITTING" 6 -0.625412957710496
"97" "SITTING" 7 -0.628833138374792
"98" "SITTING" 8 -0.637726458982249
"99" "SITTING" 9 -0.627530823653232
"100" "SITTING" 10 -0.640078551091241
"101" "SITTING" 11 -0.636081608692102
"102" "SITTING" 12 -0.636301750626951
